Наименование,Артикл,Описание,Цена
Велосипед Stels Navigator 250,3506-02,"26"", STELS, 010, 7-ск, дорожный, 19, сталь, V-типа, (СЕРЫЙ), Gent..",9900
Велосипед Stels Navigator 250 Lady,3521-02,"26"", STELS, 2016, 7-ск, дорожный, 19, сталь, V-типа, (КОРАЛЛОВЫЙ, Lady..",9900
Велосипед Stels Navigator 300,3529-02,"28"", STELS, 010, 1-ск, дорожный, высокая рама, 20, сталь, ножной задний , (ЧЕРНЫЙ)..",7480
Велосипед Stels Navigator 300 Lady,3548-02,"1-ск, paмa STEEL (20""), вилка жёсткая STEEL, задн. ножной тормоз, двойной AL обод, седло CIONLLI, по..",7480
Велосипед Stels Navigator 305 Lady,3552-02,"1-ск, paмa STEEL (20""), вилка жёсткая STEEL, задн. ножной тормоз, двойной AL обод, седло CIONLLI, по..",7570
Велосипед Stels Navigator 310,3573-02,"1-ск, paмa STEEL (19""/21""), вилка жёсткая STEEL, передний тормоз V-типа, зад. ножной тормоз, двойные..",13620
Велосипед Stels Navigator 310 Lady,3456-02,"1-ск, paмa STEEL (18""/20""), вилка жёсткая STEEL, передний тормоз V-типа, зад. ножной тормоз, двойные..",13620
Велосипед Stels Navigator 320 Lady,3460-02,"28"", STELS, 020, 1-ск, дорожный, низкая рама, сталь, ножной задний , (СЕРЫЙ)..",12770
Велосипед Stels Navigator 325 Lady,3470-02,"1-ск, paмa STEEL (20""), вилка жёсткая STEEL, задн. ножной тормоз, двойной AL обод, седло CIONLLI, по..",7760
Велосипед Stels Navigator 345 Lady,3496-02,"28"", STELS, 2016, 1-ск, дорожный, низкая рама, 20, сталь, ножной задний , (СИНИЙ), Lady..",7840
Велосипед Stels Navigator 350,3503-02,"28"", STELS, 2017/010, 7-ск, дорожный, 20, сталь, V-типа, (ЧЕРНЫЙ), Gent, с корзиной..",9980
Велосипед Stels Navigator 350 Lady,3524-02,"28"", STELS, 2017/010, 7-ск, дорожный, 20, сталь, V-типа, (ФИОЛЕТОВЫЙ), Lady, с корзиной..",9980
Велосипед Stels Navigator 355 Lady,3530-02,"28"", STELS, 2017/010, 7-ск, дорожный, 20, сталь, V-типа, (КРАСНЫЙ), Lady..",10100
"Велосипед Stels Navigator 360 28"" V010",3562-02,"28"", STELS, 2017/010, 7-ск, дорожный, 21.5, сталь, V-типа, (СИНИЙ), Gent..",14210
"Велосипед Stels Navigator 395 28"" Z010",3572-02,"28"", STELS, 010, 7-ск, 20, сталь, ручной передний/ножной задний , (ЧЕРНЫЙ)..",10350
"Велосипед Stels Navigator 400 MD 24"" V010",3452-02,"24"", STELS, 010, 18-ск, Горные, 12, сталь, Disc механические, (ТЕМНО-СИНИЙ/КРАСНЫЙ), подростковый..",12680
"Велосипед Stels Navigator 400 V 24"" V030",3465-02,"24"", STELS, 040, 21-ск, Горные, хардтейл, 12, сталь, V-типа, (СЕРЫЙ/ЗЕЛЁНЫЙ), подростковый..",12100
Велосипед Stels Navigator 400 V V020,3547-02,"21-ск., рама STEEL (14""), вилка аморт. сталь/алюм. с ходом 40 мм, тормоза V-типа, передн.перекл.Shim..",12100
Велосипед Stels Navigator 400 V V030,3560-02,"21-ск., рама STEEL (12""), тормоза V-образн., вилка аморт. с ходом 50 мм, передн.перекл. Shimano Tour..",12100
"Велосипед Stels Navigator 410 MD 24"" 21 sp V010",3475-02,"24"", STELS, 010, 21-ск, Горные, хардтейл, 13, сталь, Disc механические, (НЕОНОВЫЙ/КРАСНЫЙ), подростк..",14240
"Велосипед Stels Navigator 410 V 24"" 18 sp V030",3492-02,"18-ск., рама STEEL (15""), тормоза POWER V-образн., вилка аморт. с ходом 50 мм., передн.перекл. SHIMA..",12040
"Велосипед Stels Navigator 410 V 24"" 21 sp V010",3511-02,"24"", STELS, 010, 21-ск, Горные, хардтейл, 13, сталь, V-типа, (ТЕМНО-СИНИЙ/ЖЕЛТЫЙ), подростковый..",13370
Велосипед Stels Navigator 410 V V030,3412-02,"18-ск., рама STEEL (15""), аморт. вилка SR SUNTOUR, SHIMANO SL-RS36/FD-TY10/RD-TX35/MF-TZ20, двойные ..",11040
Велосипед Stels Navigator 420 V,3413-02,"21-ск., рама AL (13""), аморт.вилка ход 40мм, MICROSHIFT TS-38/FD-TY500/RD-TY300/MF-TZ21, двойные AL ..",14070
Велосипед Stels Navigator 430 V,3414-02,"6-ск., рама AL (11.5""), аморт.вилка STEEL ход 50мм, SHIMANO SL-RS36/RD-TY300/MF-TZ20, двойной AL обо..",14290
"Велосипед Stels Navigator 440 V 24"" V030",3518-02,"24"", STELS, 2012, 18-ск, Горные, хардтейл, 13, алюминий, V-типа, (СИНИЙ), подростковый..",15650
"Велосипед Stels Navigator 450 MD 24"" V020",3527-02,"24"", STELS, 020, 21-ск, Горные, 13, алюминий, Disc механические, (ЧЕРНЫЙ/ЗЕЛЕНЫЙ), подростковый..",16670
Велосипед Stels Navigator 450 V,3415-02,"21-ск, рама STEEL (16""/18""/20""), аморт. вилка STEEL с AL коронкой ход 60мм, MICROSHIFT TS-60, POWER ..",13020
"Велосипед Stels Navigator 450 V 24"" V010",3541-02,"24"", STELS, 010, 21-ск, Горные, хардтейл, 13, алюминий, V-типа, (СИНИЙ/КРАСНЫЙ/ЧЕРНЫЙ)..",16240
"Велосипед Stels Navigator 460 MD 24"" V021",3561-02,"24"", STELS, 2017, 21-ск, Горные, хардтейл, 11, алюминий, Disc механические, (ТЕМНО-СИНИЙ), подростко..",16820
Велосипед Stels Navigator 470 MD,3416-02,"21-ск, рама AL (12"") аморт.вилка SR SUNTOUR AL ход 50мм, SHIMANO ST-EF500/FD-TY500/RD-M310/MF-TZ21, ..",24390
"Велосипед Stels Navigator 470 MD 24""+ V010",3567-02,"24"", STELS, 010, 8-ск, полу - Fat Bike, алюминий, Disc механические, (АНТРАЦИТОВЫЙ)..",23440
Велосипед Stels Navigator 470 V,3546-02,"24"", STELS, 020, 21-ск, Горные, хардтейл, 12, алюминий, V-типа, (БЕЛЫЙ/ЧЕРНЫЙ)..",20840
Велосипед Stels Navigator 480 MD,3417-02,"14-ск., повышенная проходимость (FAT-BIKE), paмa AL (13.5""), вилка жёсткая AL, SHIMANO SL-RS36/FD-M4..",23300
Велосипед Stels Navigator 490 MD,3418-02,"21-ск, рама AL (14""), вилка SR SUNTOUR, SHIMANO ST-EF51/FD-TY700/RD-M360/ CS-HG41, двойные AL обода,..",22130
"Велосипед Stels Navigator 500 MD 26"" V020",3458-02,"21-ск, рама STEEL (16""/18""/20""), аморт. вилка STEEL с AL коронкой ход 60мм, передний перекл. MICROSH..",12680
"Велосипед Stels Navigator 500 MD 27.5""",3419-02,"21-ск, рама STEEL (17,5""/19""/21""), аморт.вилка STEEL с AL коронкой ход 75мм, MICROSHIFT TS-60, POWER..",12200
"Велосипед Stels Navigator 500 MD 29""",3420-02,"21-ск, рама STEEL (17.5""/19""/21""), аморт.вилка STEEL с AL коронкой ход 75мм, MICROSHIFT TS-60, POWER..",12200
"Велосипед Stels Navigator 500 V 26""",3510-02,"21-ск., рама STEEL (16""/18""/20""), аморт.вилка STEEL с AL коронкой ход 60мм, передний перекл. MICROSH..",12280
"Велосипед Stels Navigator 500 V 27.5""",3421-02,"21-ск, рама STEEL (17,5""/19""/21""), аморт.вилка STEEL с AL коронкой ход 75мм,передний перекл. FD-TY10..",13030
"Велосипед Stels Navigator 500 V 29""",3422-02,"21-ск, рама STEEL (17.5""/19""/21""), аморт.вилка STEEL с AL коронкой ход 75мм, MICROSHIFT TS-60, POWER..",11710
